City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ambulu,-8.345,113.6058,85.37,67,54,2.17,ID,1612838954
severo-kurilsk,50.6789,156.125,23.74,85,63,7.27,RU,1612838395
carupano,10.6678,-63.2585,74.52,85,3,11.68,VE,1612838956
makat,47.6469,53.3463,11.26,85,86,7.83,KZ,1612838957
nelson bay,-32.7167,152.15,77.0,57,40,17.27,AU,1612838959
east london,-33.0153,27.9116,67.05,74,17,3.8,ZA,1612838904
port lincoln,-34.7333,135.8667,75.65,49,70,11.36,AU,1612838426
mier,26.4333,-99.15,73.0,60,90,3.44,MX,1612838964
kapaa,22.0752,-159.319,69.8,83,75,18.41,US,1612838772
esperance,-33.8667,121.9,71.6,53,75,8.05,AU,1612838782
selenduma,50.9131,106.2406,6.24,91,36,2.21,RU,1612838967
kaliua,-5.0606,31.7936,66.06,94,100,4.88,TZ,1612838968
arlit,18.7369,7.3853,68.9,19,100,7.56,NE,1612838969
yabrud,33.9674,36.6574,53.6,54,0,10.36,SY,1612838970
san patricio,28.017,-97.5169,71.6,94,90,9.22,US,1612838971
ribeira grande,38.5167,-28.7,60.57,82,100,18.03,PT,1612838972
broken hill,-31.95,141.4333,84.2,15,0,12.66,AU,1612838973
forecariah,9.4306,-13.0881,72.37,79,57,2.62,GN,1612838974
vredendal,-31.6683,18.5012,62.19,85,0,3.0,ZA,1612838706
palmer,42.1584,-72.3287,12.99,79,40,3.44,US,1612838977
grand-lahou,5.1367,-5.0242,79.21,85,7,9.91,CI,1612838978
inta,66.0317,60.1659,-23.78,87,93,1.05,RU,1612838979
georgetown,5.4112,100.3354,84.2,74,20,3.44,MY,1612838980
noyabrsk,63.1994,75.4507,-15.61,90,61,6.42,RU,1612838981
port alfred,-33.5906,26.891,68.0,90,9,4.74,ZA,1612838606
kununurra,-15.7667,128.7333,84.2,79,90,8.05,AU,1612838985
rudbar,30.15,62.6,53.02,49,0,5.66,AF,1612838986
la palma,33.8464,-118.0467,55.4,62,75,5.75,US,1612838987
saint-philippe,-21.3585,55.7679,77.0,53,0,9.22,RE,1612838988
mumbwa,-14.9783,27.0619,64.6,98,100,4.56,ZM,1612838989
yellowknife,62.456,-114.3525,-25.6,68,90,17.27,CA,1612838990
provideniya,64.3833,-173.3,6.8,72,75,22.37,RU,1612838991
wilmington,34.2257,-77.9447,46.4,76,1,6.91,US,1612838879
tezu,27.9167,96.1667,74.01,20,0,2.01,IN,1612838993
zavodskoy,43.4597,132.2922,15.8,35,53,8.95,RU,1612838994
chapais,49.7834,-74.8492,-13.0,77,1,3.06,CA,1612838995
banda aceh,5.5577,95.3222,83.52,69,8,12.41,ID,1612838968
hobyo,5.3505,48.5268,76.91,71,29,22.79,SO,1612838998
ahipara,-35.1667,173.1667,71.76,70,99,11.74,NZ,1612838999
saint george,37.1041,-113.5841,55.99,22,1,4.61,US,1612839000
maragogi,-9.0122,-35.2225,77.31,82,75,7.25,BR,1612839003
gunjur,13.2019,-16.7339,71.6,56,74,4.61,GM,1612839004
oranjestad,12.524,-70.027,78.8,78,40,18.41,AW,1612838819
touros,-5.1989,-35.4608,78.8,83,40,6.91,BR,1612839006
fairbanks,64.8378,-147.7164,-11.2,49,1,8.05,US,1612839007
dukat,62.55,155.55,0.28,92,93,2.98,RU,1612839008
margosatubig,7.5777,123.1658,85.15,66,100,4.09,PH,1612839009
shiraz,29.6036,52.5388,35.6,100,0,2.53,IR,1612839011
longyearbyen,78.2186,15.6401,10.4,56,0,8.05,SJ,1612838716
luderitz,-26.6481,15.1594,67.59,67,0,17.87,NA,1612839014
shatrovo,56.5167,64.6333,-11.4,88,100,11.36,RU,1612839015
shimoda,34.6667,138.95,42.8,42,75,6.91,JP,1612839016
salekhard,66.53,66.6019,-25.42,84,0,7.65,RU,1612839017
salalah,17.0151,54.0924,75.2,53,0,12.66,OM,1612839018
kruisfontein,-34.0033,24.7314,61.0,89,0,1.01,ZA,1612838770
sambava,-14.2667,50.1667,75.72,88,39,3.89,MG,1612839021
alofi,-19.0595,-169.9187,84.2,74,75,11.5,NU,1612839022
mercedes,-34.6515,-59.4307,64.99,90,46,4.0,AR,1612839024
raudeberg,61.9875,5.1352,25.0,52,0,7.52,NO,1612839025
saquena,-4.6667,-73.5167,74.43,96,100,1.81,PE,1612839026
laramie,41.3114,-105.5911,28.4,31,1,20.71,US,1612839027
tuktoyaktuk,69.4541,-133.0374,-43.6,66,1,5.75,CA,1612838764
troitsko-pechorsk,62.7084,56.1964,-15.0,87,100,7.7,RU,1612839030
aygut,40.6833,45.1729,37.71,71,12,10.22,AM,1612839031
shwebo,22.5667,95.7,70.74,48,0,3.87,MM,1612839032
saskylakh,71.9167,114.0833,-31.05,83,48,1.81,RU,1612839033
manicore,-5.8092,-61.3003,76.5,94,100,1.36,BR,1612839034
samarai,-10.6167,150.6667,85.24,73,100,4.12,PG,1612838759
noda,35.9411,139.8581,48.0,22,20,10.36,JP,1612839036
swellendam,-34.0226,20.4417,57.2,94,36,1.61,ZA,1612839037
redmond,47.674,-122.1215,37.99,85,91,1.72,US,1612838762
lisakovsk,52.5369,62.4936,-15.39,84,71,14.29,KZ,1612838958
odienne,9.51,-7.5692,71.2,28,0,1.61,CI,1612839040
trois-rivieres,46.3501,-72.5491,12.2,73,0,5.75,CA,1612838999
debre tabor,11.85,38.0167,45.55,57,84,5.28,ET,1612839042
sao joao da barra,-21.6403,-41.0511,69.94,87,100,7.63,BR,1612839043
taitung,22.7583,121.1444,71.6,56,75,10.36,TW,1612839044
zhezkazgan,47.8043,67.7144,-7.24,91,15,10.98,KZ,1612839046
carnarvon,-24.8667,113.6333,82.4,89,0,20.71,AU,1612839047
halifax,44.6453,-63.5724,23.0,74,0,12.66,CA,1612838969
diego de almagro,-26.3667,-70.05,59.13,60,0,0.13,CL,1612839049
mackay,-21.15,149.2,84.2,74,40,12.66,AU,1612839050
barinitas,8.7622,-70.4111,74.01,65,40,4.29,VE,1612839051
barcelos,41.5388,-8.6151,53.6,94,90,18.41,PT,1612839052
wanning,18.8003,110.3967,74.44,81,79,12.01,CN,1612839053
malartic,48.1335,-78.1328,8.6,78,90,6.91,CA,1612839054
dubai,25.2582,55.3047,69.8,78,40,5.75,AE,1612839023
marabba,12.35,32.1833,63.27,29,1,10.69,SD,1612839056
takaka,-40.85,172.8,66.0,89,100,10.0,NZ,1612839057
derzhavinsk,51.1,66.3167,-10.17,89,100,19.69,KZ,1612839058
siderno,38.2779,16.302,57.99,77,20,10.36,IT,1612839009
astoria,46.1879,-123.8313,39.99,75,20,3.44,US,1612838811
byron bay,-28.65,153.6167,78.8,50,75,19.57,AU,1612839061
hobart,-42.8794,147.3294,63.0,58,75,8.05,AU,1612839063
tuatapere,-46.1333,167.6833,52.68,90,100,9.82,NZ,1612839014
enid,36.3956,-97.8784,17.6,86,90,4.61,US,1612838915
taoudenni,22.6783,-3.9836,59.0,30,15,8.03,ML,1612838818
naliya,23.2667,68.8333,66.79,53,54,4.72,IN,1612839067
torbay,47.6666,-52.7314,30.99,93,90,31.07,CA,1612839068
chokurdakh,70.6333,147.9167,-13.59,85,0,10.13,RU,1612839069
gat,31.61,34.7642,60.01,51,100,3.85,IL,1612839070
mocuba,-16.8392,36.9856,72.79,97,100,1.68,MZ,1612839071
port hawkesbury,45.6169,-61.3485,23.0,74,90,25.32,CA,1612839072
puerto escondido,15.85,-97.0667,80.6,74,1,5.32,MX,1612839073
beyneu,45.3167,55.2,21.81,82,100,4.76,KZ,1612839074
satara,17.6833,73.9833,67.6,24,21,2.8,IN,1612839075
arraial do cabo,-22.9661,-42.0278,71.67,76,100,4.32,BR,1612839076
pangnirtung,66.1451,-65.7125,11.64,71,0,2.73,CA,1612839077
aklavik,68.2191,-135.0107,-36.4,67,100,3.44,CA,1612839078
tual,-5.6667,132.75,83.66,80,97,17.47,ID,1612839079
ponta do sol,32.6667,-17.1,59.0,75,23,3.0,PT,1612839080
mahon,39.8885,4.2658,53.6,82,0,8.05,ES,1612839081
constitucion,-35.3333,-72.4167,58.8,88,1,10.63,CL,1612838887
sisimiut,66.9395,-53.6735,21.88,75,0,8.28,GL,1612839084
sirnak,37.5228,42.4594,38.25,73,100,1.92,TR,1612838888
victoria,22.2855,114.1577,66.99,73,85,3.0,HK,1612839023
port hedland,-20.3167,118.5667,91.4,46,0,14.97,AU,1612839087
vardo,70.3705,31.1107,24.01,88,100,19.66,NO,1612839088
pevek,69.7008,170.3133,-7.38,74,92,4.47,RU,1612839089
gorontalo,0.5412,123.0595,89.92,59,82,1.92,ID,1612839090
tiksi,71.6872,128.8694,-25.2,86,75,4.25,RU,1612839091
padang,-0.9492,100.3543,87.8,66,20,4.61,ID,1612839092
marzuq,14.4,46.4667,60.48,65,100,17.6,YE,1612839093
lebu,-37.6167,-73.65,59.31,94,35,9.33,CL,1612839094
nikolskoye,59.7035,30.7861,5.0,85,90,2.24,RU,1612839096
kirakira,-10.4544,161.9205,84.54,75,75,10.42,SB,1612839097
shache,38.4167,77.2406,36.57,67,57,4.81,CN,1612839098
la asuncion,11.0333,-63.8628,75.7,87,0,13.51,VE,1612839099
eureka,40.8021,-124.1637,48.0,83,100,2.53,US,1612839100
revelstoke,50.9832,-118.2023,14.0,52,20,11.5,CA,1612839101
katsuura,35.1333,140.3,46.4,21,20,14.97,JP,1612839102
nizwa,22.9333,57.5333,59.77,56,81,4.74,OM,1612839104
nantucket,41.2835,-70.0995,24.01,68,1,4.61,US,1612839105
laguna,38.421,-121.4238,59.0,67,20,4.61,US,1612839106
the valley,18.217,-63.0578,78.8,69,40,12.66,AI,1612839107
saint-joseph,-21.3667,55.6167,77.0,53,0,9.22,RE,1612839108
seymchan,62.8833,152.4333,-7.13,87,100,6.82,RU,1612839109
yaan,7.3833,8.5667,75.49,79,58,6.35,NG,1612839110
grand gaube,-20.0064,57.6608,78.01,80,0,3.0,MU,1612839043
aljezur,37.3191,-8.8033,55.0,100,100,4.0,PT,1612839113
bredasdorp,-34.5322,20.0403,57.2,94,8,1.72,ZA,1612839114
santa rosa,14.3122,121.1114,80.01,83,90,3.44,PH,1612839115
castro,-24.7911,-50.0119,56.37,97,2,6.04,BR,1612839116
nacogdoches,31.6002,-94.6335,59.0,94,1,3.44,US,1612839117
mahebourg,-20.4081,57.7,75.2,88,40,3.44,MU,1612839119
sonderso,55.4853,10.2554,28.4,69,90,25.32,DK,1612839121
iqaluit,63.7506,-68.5145,21.2,79,90,3.44,CA,1612839123
leningradskiy,69.3833,178.4167,-22.41,84,88,10.8,RU,1612839051
yantal,56.8471,105.2542,21.47,93,100,7.4,RU,1612839126
maneromango,-7.1988,38.7848,80.6,89,20,10.36,TZ,1612839127
dauriya,49.9333,116.8667,11.68,94,77,6.31,RU,1612839128
sinnamary,5.3833,-52.95,77.65,79,49,14.67,GF,1612839129
vytegra,61.0064,36.4481,-1.23,92,66,5.82,RU,1612839130
quesnel,52.9999,-122.5029,-9.4,70,1,5.75,CA,1612839131
krasnorechenskiy,44.6265,135.3532,6.17,86,0,14.34,RU,1612839132
lakes entrance,-37.8811,147.981,66.99,76,0,8.99,AU,1612839133
wasilla,61.5814,-149.4394,10.4,40,1,5.75,US,1612839090
hofn,64.2539,-15.2082,31.57,90,100,14.29,IS,1612839135
diu,20.7141,70.9822,70.54,28,0,7.18,IN,1612839136
sand,50.0,10.6,18.0,7,95,3.42,DE,1612839138
olafsvik,64.8945,-23.7142,33.35,90,15,18.41,IS,1612839139
saldanha,-33.0117,17.9442,64.4,82,0,6.91,ZA,1612839018
nanortalik,60.1432,-45.2371,28.63,91,96,9.93,GL,1612839142
ermelo,-26.5333,29.9833,58.86,98,93,4.14,ZA,1612839143
kidal,18.4411,1.4078,67.12,23,93,7.14,ML,1612839144
salisbury,51.0693,-1.7957,30.0,80,75,11.5,GB,1612839077
atambua,-9.1061,124.8925,79.29,83,100,7.61,ID,1612839064
olot,42.181,2.4901,42.01,88,0,3.0,ES,1612839147
xichang,27.8964,102.2634,52.65,50,95,1.1,CN,1612839148
suez,29.9737,32.5263,65.59,50,100,5.3,EG,1612839149
cairns,-16.9167,145.7667,89.01,74,100,8.05,AU,1612838887
marawi,7.9986,124.2928,82.0,82,95,5.01,PH,1612839151
college,64.8569,-147.8028,-11.2,58,1,9.22,US,1612839022
devils lake,48.1128,-98.8651,-11.99,70,1,16.11,US,1612839154
nandikotkur,15.8667,78.2667,69.58,61,68,3.44,IN,1612839155
kaitangata,-46.2817,169.8464,60.01,90,100,10.0,NZ,1612839022
bethel,41.3712,-73.414,18.0,69,32,1.79,US,1612839157
la ronge,55.1001,-105.2842,-18.4,69,100,12.66,CA,1612839158
emerald,-23.5333,148.1667,89.6,51,75,9.22,AU,1612839160
pangkalanbuun,-2.6833,111.6167,89.06,58,89,4.36,ID,1612839161
timbo,-26.8233,-49.2717,66.99,86,16,0.92,BR,1612839163
vilhena,-12.7406,-60.1458,70.32,92,99,1.32,BR,1612839164
ancud,-41.8697,-73.8203,63.0,72,0,2.3,CL,1612839165
beringovskiy,63.05,179.3167,2.61,93,100,6.87,RU,1612839166
port-gentil,-0.7193,8.7815,81.72,78,100,9.01,GA,1612839167
popova,42.9603,131.7228,15.8,35,74,8.95,RU,1612839169
chicama,-7.8447,-79.1469,73.29,70,100,5.32,PE,1612839170
guerrero negro,27.9769,-114.0611,59.83,75,1,8.88,MX,1612839171
hibbing,47.4272,-92.9377,-11.2,53,1,4.61,US,1612839172
korla,41.7597,86.1469,35.71,69,61,3.49,CN,1612839173
klaksvik,62.2266,-6.589,30.2,93,20,5.75,FO,1612839175
kavaratti,10.5669,72.642,81.46,65,73,7.27,IN,1612839176
cidreira,-30.1811,-50.2056,72.57,78,59,13.11,BR,1612839177
harindanga,22.0383,88.3214,64.4,72,0,6.44,IN,1612839178
tautira,-17.7333,-149.15,78.8,73,40,4.61,PF,1612839180
tha mai,12.6214,102.0048,82.0,68,2,3.04,TH,1612839181
coolidge,32.9778,-111.5176,64.4,15,1,5.75,US,1612839180
erenhot,43.6475,111.9767,21.99,92,0,10.27,CN,1612839184
mount gambier,-37.8333,140.7667,71.6,43,0,11.5,AU,1612838422
sistranda,63.7256,8.834,19.4,93,20,11.5,NO,1612839186
shitanjing,39.2342,106.3439,34.68,63,0,0.58,CN,1612839187
khatanga,71.9667,102.5,-17.95,83,53,11.99,RU,1612839188
dingle,10.9995,122.6711,78.15,88,81,11.99,PH,1612839097
weligama,5.9667,80.4167,77.52,83,97,3.47,LK,1612839140
khazar,41.9974,48.3332,44.47,82,100,2.08,RU,1612839191
la rioja,42.25,-2.5,41.0,87,40,3.44,ES,1612839192
namatanai,-3.6667,152.4333,84.15,77,21,8.16,PG,1612839193
lavrentiya,65.5833,-171.0,-3.84,84,100,11.03,RU,1612839194
coahuayana,18.7333,-103.6833,68.16,85,0,1.99,MX,1612839195
huanren,41.2647,125.3667,21.97,84,0,5.79,CN,1612839196
hervey bay,-25.2986,152.8535,79.0,61,3,8.99,AU,1612839197
killam,52.7834,-111.8518,-20.2,63,18,13.8,CA,1612839198
souillac,-20.5167,57.5167,75.2,88,40,3.44,MU,1612839011
monroe,43.1501,-77.6831,19.99,63,90,2.26,US,1612839200
porto novo,6.4965,2.6036,82.4,83,40,6.91,BJ,1612839202
wawa,9.9022,4.4192,71.46,22,10,6.02,NG,1612839203
kahului,20.8947,-156.47,78.8,57,40,23.02,US,1612839016
ugoofaaru,5.6667,73.0,81.68,67,51,7.81,MV,1612839205
riyadh,24.6877,46.7219,50.0,76,0,3.44,SA,1612839206
petropavlovsk-kamchatskiy,53.0452,158.6483,26.6,63,40,15.66,RU,1612839207
toro,4.6117,-76.0814,66.2,88,75,6.91,CO,1612839208
puerto ayora,-0.7393,-90.3518,77.0,95,100,3.38,EC,1612838877
comodoro rivadavia,-45.8667,-67.5,64.4,68,0,1.14,AR,1612839211
buraydah,26.326,43.975,44.6,100,0,2.3,SA,1612839212
valdivia,-39.8142,-73.2459,60.8,82,87,4.61,CL,1612839213
jumla,29.2747,82.1838,52.75,34,0,1.72,NP,1612839214
korostyshiv,50.3172,29.0563,22.01,97,100,13.24,UA,1612839215
isangel,-19.55,169.2667,86.0,66,20,5.75,VU,1612839216
srednekolymsk,67.45,153.6833,-11.6,89,96,7.11,RU,1612839218
totness,5.8833,-56.3167,76.73,81,79,12.01,SR,1612839219
pisco,-13.7,-76.2167,71.6,78,0,4.61,PE,1612839220
mega,4.05,38.3,60.62,67,75,9.19,ET,1612839221
antofagasta,-23.65,-70.4,66.2,68,20,8.05,CL,1612839116
cabo san lucas,22.8909,-109.9124,66.0,82,1,11.5,MX,1612839100
bacabal,-4.2917,-44.7917,74.44,97,100,1.57,BR,1612839225
jales,-20.2689,-50.5458,67.75,80,0,6.06,BR,1612839226
lorengau,-2.0226,147.2712,84.24,77,1,7.4,PG,1612839105
kysyl-syr,63.8986,122.7617,-19.37,85,2,0.72,RU,1612839229
kandrian,-6.2167,149.55,87.46,68,63,7.78,PG,1612839230
burnie,-41.0667,145.9167,66.99,52,38,8.59,AU,1612839231
uran,18.8769,72.9397,73.4,43,0,4.76,IN,1612839232
berdigestyakh,62.0989,126.6992,-12.15,87,100,2.64,RU,1612839234
kupang,-10.1667,123.5833,86.0,79,20,13.8,ID,1612839235
khash,28.2211,61.2158,44.83,55,92,3.38,IR,1612839236
asbury park,40.2204,-74.0121,26.01,93,1,3.44,US,1612839237
port blair,11.6667,92.75,78.53,65,62,11.32,IN,1612839238
tessalit,20.1986,1.0114,60.3,25,77,9.66,ML,1612839239
itarema,-2.9248,-39.9167,79.0,86,98,9.71,BR,1612839076
bundaberg,-24.85,152.35,84.0,57,75,18.41,AU,1612839241
broome,42.2506,-75.833,19.99,53,20,4.61,US,1612839051
wencheng,33.0559,113.7978,47.82,52,92,0.13,CN,1612839243
kabinda,-6.1333,24.4833,66.74,97,100,3.22,CD,1612839244
bengkulu,-3.8004,102.2655,85.53,58,86,3.94,ID,1612839245
zyryanka,65.75,150.85,-15.38,87,100,6.08,RU,1612839247
khasan,42.4308,130.6434,21.45,86,90,4.27,RU,1612839248
ambatondrazaka,-17.8333,48.4167,66.43,93,100,1.63,MG,1612839249
sioux lookout,50.1001,-91.917,-18.4,63,1,9.22,CA,1612839250
jiazi,22.8779,116.067,62.65,66,97,23.53,CN,1612839251
nizhniy odes,63.6445,54.856,-14.53,88,100,8.61,RU,1612839253
assare,-6.8744,-39.875,73.56,66,95,4.36,BR,1612839254
yulara,-25.2406,130.9889,98.6,16,22,17.27,AU,1612839255
oskarshamn,57.2645,16.4484,26.01,71,100,13.0,SE,1612839256
bara,10.3744,10.7288,65.59,25,0,6.67,NG,1612839257
teknaf,20.8624,92.3058,73.85,41,0,6.06,BD,1612839258
berberati,4.2612,15.7922,63.19,30,100,1.43,CF,1612839259
nechi,8.0942,-74.7757,75.72,94,100,1.43,CO,1612839260
cayenne,4.9333,-52.3333,78.8,78,20,6.91,GF,1612839045
lompoc,34.6391,-120.4579,51.8,82,75,5.75,US,1612839262
golden,39.7555,-105.2211,35.01,63,20,4.61,US,1612839001
imbituba,-28.24,-48.6703,71.6,83,20,6.91,BR,1612839263
denpasar,-8.65,115.2167,84.2,84,40,4.61,ID,1612839018
parabel,58.6978,81.4825,6.94,95,98,10.87,RU,1612839266
cody,44.5263,-109.0565,-7.01,71,90,13.8,US,1612839267
faanui,-16.4833,-151.75,81.84,76,70,11.95,PF,1612839066
zeya,53.75,127.2667,0.43,86,0,4.12,RU,1612839269
murmashi,68.8154,32.8115,-2.2,84,75,2.24,RU,1612839270
biak,-0.9131,122.8766,84.33,64,83,1.72,ID,1612839271
haines junction,60.7522,-137.5108,-20.2,76,53,1.14,CA,1612839272
uni,57.7535,51.4923,-16.6,89,98,10.22,RU,1612839273
banyo,6.75,11.8167,62.69,30,93,4.03,CM,1612839275
unai,-16.3575,-46.9061,68.02,89,3,2.39,BR,1612839276
medyn,54.9692,35.8586,3.2,85,0,2.24,RU,1612839277
imbituva,-25.23,-50.6044,59.49,97,0,4.65,BR,1612839278
hambantota,6.1241,81.1185,78.8,83,80,10.36,LK,1612839279
manokwari,-0.8667,134.0833,81.28,80,100,5.66,ID,1612839280
okhotsk,59.3833,143.3,17.31,89,100,14.09,RU,1612839281
port moresby,-9.4431,147.1797,89.6,62,40,11.5,PG,1612839217
les herbiers,46.8667,-1.0167,34.0,93,0,1.14,FR,1612839284
batagay,67.6333,134.6333,-25.4,82,13,2.75,RU,1612839285
terra santa,-2.1042,-56.4869,77.43,82,94,3.31,BR,1612839286
lahad datu,5.0268,118.327,85.78,67,100,2.08,MY,1612839287
saint-augustin,51.226,-58.6502,35.29,86,100,10.83,CA,1612838869
harwich,51.9419,1.2844,33.01,66,99,15.01,GB,1612839083
madera,37.1666,-119.8343,55.0,67,100,2.59,US,1612839291
port hardy,50.6996,-127.4199,37.4,74,1,8.05,CA,1612839293
acarau,-2.8856,-40.12,79.23,86,98,10.11,BR,1612839053
zabol,32.25,67.25,41.61,57,0,9.84,AF,1612839295
nouadhibou,20.931,-17.0347,60.8,77,0,20.71,MR,1612839296
lokosovo,61.1333,74.8167,-5.06,92,99,4.23,RU,1612839298
ilulissat,69.2167,-51.1,24.8,39,0,20.71,GL,1612839262
vila velha,-20.3297,-40.2925,77.0,94,90,8.05,BR,1612839301
chlorakas,34.8042,32.4083,57.0,66,0,8.05,CY,1612839304
maltahohe,-24.8333,16.9833,74.55,20,0,10.38,NA,1612839305
yakeshi,49.2833,120.7333,3.43,92,100,5.46,CN,1612839306
ca mau,9.1769,105.15,86.45,53,58,13.65,VN,1612839307
zhumadian,32.9794,114.0294,47.21,54,100,3.51,CN,1612839308
talnakh,69.4865,88.3972,-3.32,88,97,5.5,RU,1612839309
flinders,-34.5833,150.8552,71.01,73,68,4.0,AU,1612839086
kvarkeno,52.0833,59.725,-19.98,82,0,16.53,RU,1612839311
magan,39.9683,-3.931,46.99,67,100,12.53,ES,1612839312
matagami,49.7502,-77.6328,-2.2,78,90,4.61,CA,1612839313
hasaki,35.7333,140.8333,46.0,24,20,12.66,JP,1612839314
jerantut,3.936,102.3626,85.1,61,54,2.57,MY,1612839315
orlovskiy,46.8714,42.0592,23.29,97,100,20.89,RU,1612839316
bossier city,32.516,-93.7321,55.99,87,75,6.91,US,1612839317
mazagao,-0.115,-51.2894,77.0,94,75,5.75,BR,1612839318
brindisi,40.5833,17.6667,57.0,76,0,9.22,IT,1612839319
sassandra,4.95,-6.0833,76.73,90,29,6.6,CI,1612839320
skjervoy,70.0311,20.9714,25.39,93,100,10.74,NO,1612839321
jacareacanga,-6.2222,-57.7528,74.5,96,100,0.89,BR,1612839322
takoradi,4.8845,-1.7554,79.21,88,0,10.74,GH,1612839323
pajapan,18.25,-94.7,71.47,91,0,3.38,MX,1612839324
dakoro,14.5106,6.765,63.43,23,51,11.36,NE,1612839325
taua,-5.9667,-40.3,75.88,66,98,8.66,BR,1612839327
neiafu,-18.65,-173.9833,78.8,94,75,14.97,TO,1612839328
carutapera,-1.195,-46.02,78.39,85,84,7.02,BR,1612839306
kurchum,48.5722,83.6542,26.87,94,100,10.49,KZ,1612839330
la paz,-16.5,-68.15,44.6,76,75,2.3,BO,1612839331
asfi,32.2994,-9.2372,59.32,89,3,15.12,MA,1612839299
genhe,50.7833,121.5167,4.21,88,88,2.68,CN,1612839333
